OBJECTID,FIRST_DIST,FIRST_Z
1,0,5.7321
2,0.499614588,5.722
3,0.99922917,5.7343
4,1.498843756,5.7351
5,1.998458342,5.7542
6,2.498072928,5.7847
7,2.997687513,5.764
8,3.497302098,5.7718
9,3.996916686,5.7819
10,4.496531269,5.7753
11,4.996145857,5.7268
12,5.495760443,5.5363
13,5.995375027,5.3687
14,6.494989611,5.2153
15,6.994604198,5.0963
16,7.494218783,4.9948
17,7.993833368,4.9102
18,8.493447955,4.8214
19,8.993062538,4.7695
20,9.492677124,4.7119
21,9.992291709,4.6459
22,10.4919063,4.605
23,10.99152088,4.5699
24,11.49113547,4.5282
25,11.99075005,4.4944
26,12.49036464,4.4781
27,12.98997923,4.4599
28,13.48959381,4.4394
29,13.9892084,4.4268
30,14.48882298,4.4042
31,14.98843757,4.3784
32,15.48805215,4.3683
33,15.98766673,4.3604
34,16.48728132,4.3582
35,16.98689591,4.3578
36,17.48651049,4.3672
37,17.98612508,4.402
38,18.48573966,4.4356
39,18.98535425,4.4748
40,19.48496884,4.4898
41,19.98458342,4.5542
42,20.48419801,4.6004
43,20.98381259,4.6361
44,21.48342718,4.6731
45,21.98304176,4.7259
46,22.48265635,4.7675
47,22.98227093,4.8371
48,23.48188552,4.8967
49,23.9815001,4.9614
50,24.48111469,5.0306
51,24.98072928,5.1176
52,25.48034386,5.1876
53,25.97995844,5.239
54,26.47957303,5.2669
55,26.97918762,5.2665
56,27.4788022,5.2588
57,27.97841679,5.2204
58,28.47803137,5.1497
59,28.97764596,5.045
60,29.47726054,4.923
61,29.97687513,4.7992
62,30.47648971,4.6767
63,30.9761043,4.555
64,31.47571889,4.4348
65,31.97533347,4.309
66,32.47494806,4.2125
67,32.97456264,4.1006
68,33.47417723,4.0008
69,33.97379181,3.9223
70,34.4734064,3.8566
71,34.97302098,3.8051
72,35.47263557,3.7471
73,35.97225016,3.7191
74,36.47186474,3.6903
75,36.97147932,3.6616
76,37.47109391,3.6458
77,37.97070849,3.6411
78,38.47032308,3.6308
79,38.96993767,3.6203
80,39.46955225,3.6215
81,39.96916684,3.6264
82,40.46878142,3.6314
83,40.96839601,3.6331
84,41.46801059,3.6386
85,41.96762518,3.6328
86,42.46723977,3.6394
87,42.96685435,3.6598
88,43.46646894,3.6661
89,43.96608352,3.66
90,44.4656981,3.6852
91,44.96531269,3.6891
92,45.46492728,3.7001
93,45.96454186,3.7202
94,46.46415645,3.7352
95,46.96377103,3.7484
96,47.46338562,3.7576
97,47.96300021,3.7609
98,48.46261479,3.7656
99,48.96222938,3.7855
100,49.46184396,3.815
101,49.96145855,3.8204
102,50.46107313,3.8229
103,50.96068772,3.8314
104,51.4603023,3.8395
105,51.95991689,3.8392
106,52.45953147,3.8496
107,52.95914606,3.8585
108,53.45876064,3.8515
109,53.95837523,3.8783
110,54.45798982,3.8864
111,54.9576044,3.8714
112,55.45721899,3.8626
113,55.95683357,3.8636
114,56.45644816,3.8759
115,56.95606274,3.8841
116,57.45567733,3.9009
117,57.95529191,3.9152
118,58.4549065,3.9249
119,58.95452108,3.9079
120,59.45413567,3.8957
121,59.95375026,3.9
122,60.45336484,3.9177
123,60.95297943,3.9312
124,61.45259401,3.9342
125,61.9522086,3.9377
126,62.45182318,3.9547
127,62.95143777,3.9524
128,63.45105235,3.9649
129,63.95066694,3.9696
130,64.45028153,3.9686
131,64.94989611,3.9899
132,65.44951069,4.0041
133,65.94912528,4.0053
134,66.44873987,4.0334
135,66.94835445,4.0415
136,67.44796904,4.0582
137,67.94758362,4.0887
138,68.44719821,4.0824
139,68.94681279,4.082
140,69.44642738,4.0961
141,69.94604196,4.0907
